id;user_id;checklist_id;completed;created_at;updated_at
cb1556b1-9817-4594-818d-925623895911;aa7d3257-9651-4b4a-9cac-dc176b65c517;accommodation;true;2025-11-29 14:26:44.632672+00;2025-11-29 14:26:46.859763+00
eebf9b46-87c6-413f-834b-b86319fc6517;aa7d3257-9651-4b4a-9cac-dc176b65c517;sim;true;2025-11-29 14:26:48.288973+00;2025-11-29 14:26:48.288973+00
7255f7c0-fb87-43a7-a9c3-40d7ec791be1;aa7d3257-9651-4b4a-9cac-dc176b65c517;bank;true;2025-11-29 14:26:49.534192+00;2025-11-29 14:26:49.534192+00
9889476d-55b3-4841-958f-dcf7c1025837;aa7d3257-9651-4b4a-9cac-dc176b65c517;nin;true;2025-11-29 14:26:50.861542+00;2025-11-29 14:26:50.861542+00
3ed48af6-7f8e-479d-ade4-d531ca32469a;aa7d3257-9651-4b4a-9cac-dc176b65c517;gp;true;2025-11-29 14:26:53.315634+00;2025-11-29 14:26:53.315634+00
d6786d86-2e19-4237-b062-587f0b191614;aa7d3257-9651-4b4a-9cac-dc176b65c517;transport;true;2025-11-29 14:26:55.157273+00;2025-11-29 14:26:55.157273+00
a670edb6-d4ad-4691-a0f8-27d7386560da;aa7d3257-9651-4b4a-9cac-dc176b65c517;council-tax;true;2025-11-29 14:26:56.300548+00;2025-11-29 14:26:56.300548+00
1197340c-94ba-49d6-b047-e6ed58309343;aa7d3257-9651-4b4a-9cac-dc176b65c517;universal-credit;true;2025-11-29 14:26:57.981791+00;2025-11-29 14:26:57.981791+00
9097d454-7aa2-4f02-afab-d04672d01277;aa7d3257-9651-4b4a-9cac-dc176b65c517;cv;true;2025-11-29 14:27:00.414723+00;2025-11-29 14:27:00.414723+00
c86fc758-adc2-4889-ad1e-9df6c50e8f04;aa7d3257-9651-4b4a-9cac-dc176b65c517;job-search;true;2025-11-29 14:27:01.868928+00;2025-11-29 14:27:01.868928+00
